year,province,issueamount,issuenum
2005,Beijing,5000,5
2005,Chongqing,3400,2
2005,Fujian,4000,2
2005,Guangdong,6000,3
2005,Guangxi,2000,2
2005,Hubei,2000,2
2005,Jiangsu,10400,8
2005,Jiangxi,1000,1
2005,Shanghai,13200,10
2005,Sichuan,2000,2
2005,Tianjin,4500,3
2005,Zhejiang,5000,3
2006,Anhui,6000,5
2006,Beijing,5000,3
2006,Chongqing,6000,4
2006,Fujian,1600,2
2006,Gansu,500,1
2006,Guangdong,3000,2
2006,Hebei,3000,3
2006,Henan,6000,5
2006,Hubei,3000,3
2006,Hunan,3000,3
2006,Jiangsu,6100,6
2006,Jiangxi,2550,3
2006,Jilin,1600,2
2006,Shandong,3000,3
2006,Shanghai,7800,7
2006,Sichuan,1500,1
2006,Tianjin,2550,2
2006,Zhejiang,7000,4
2007,Anhui,2800,3
2007,Beijing,8600,7
2007,Chongqing,2000,2
2007,Fujian,4900,4
2007,Gansu,900,1
2007,Guangdong,3850,4
2007,Guangxi,1000,1
2007,Hebei,1800,1
2007,Henan,2000,2
2007,Hubei,2100,3
2007,Hunan,800,1
2007,Inner Mongolia,800,1
2007,Jiangsu,15450,11
2007,Jiangxi,1500,1
2007,Liaoning,600,2
2007,Ningxia,800,1
2007,Shaanxi,1300,2
2007,Shandong,1500,1
2007,Shanghai,17670,11
2007,Sichuan,250,1
2007,Tianjin,6500,5
2007,Zhejiang,10200,8
2008,Anhui,5300,5
2008,Beijing,6800,5
2008,Chongqing,6450,4
2008,Fujian,3000,1
2008,Guangdong,5700,4
2008,Hubei,1000,1
2008,Inner Mongolia,1500,1
2008,Jiangsu,30000,18
2008,Jiangxi,1200,1
2008,Jilin,2000,2
2008,Liaoning,1200,2
2008,Qinghai,2000,2
2008,Shaanxi,5500,5
2008,Shandong,800,1
2008,Shanghai,22000,10
2008,Sichuan,2550,3
2008,Tianjin,4300,2
2008,Yunnan,6000,4
2008,Zhejiang,12900,8
2009,Anhui,27000,25
2009,Beijing,51600,14
2009,Chongqing,16600,11
2009,Fujian,5800,6
2009,Gansu,12300,3
2009,Guangdong,18000,7
2009,Guangxi,3250,3
2009,Hebei,2500,3
2009,Heilongjiang,7600,5
2009,Henan,4400,4
2009,Hubei,6900,6
2009,Hunan,16460,14
2009,Inner Mongolia,2900,3
2009,Jiangsu,68800,43
2009,Jiangxi,9900,8
2009,Jilin,2400,2
2009,Liaoning,7400,6
2009,Qinghai,1600,2
2009,Shaanxi,5600,4
2009,Shandong,11500,10
2009,Shanghai,52100,26
2009,Shanxi,4000,2
2009,Sichuan,10200,8
2009,Tianjin,19570,11
2009,Yunnan,1600,2
2009,Zhejiang,39300,30
2010,Anhui,22100,20
2010,Beijing,35200,22
2010,Chongqing,13700,12
2010,Fujian,5300,5
2010,Gansu,800,1
2010,Guangdong,21200,19
2010,Guangxi,8600,7
2010,Guizhou,4300,4
2010,Hebei,5000,4
2010,Heilongjiang,2000,2
2010,Henan,3900,5
2010,Hubei,7000,8
2010,Hunan,24700,15
2010,Inner Mongolia,12500,9
2010,Jiangsu,70600,50
2010,Jiangxi,10700,12
2010,Jilin,2000,2
2010,Liaoning,14600,9
2010,Ningxia,1500,1
2010,Qinghai,600,1
2010,Shaanxi,8800,7
2010,Shandong,4400,5
2010,Shanghai,16300,15
2010,Shanxi,4000,2
2010,Sichuan,19100,11
2010,Tianjin,19800,7
2010,Xinjiang,3700,3
2010,Yunnan,17000,15
2010,Zhejiang,15900,15
2011,Anhui,17900,18
2011,Beijing,50200,20
2011,Chongqing,19600,16
2011,Fujian,11280,15
2011,Gansu,12300,7
2011,Guangdong,27000,21
2011,Guangxi,8000,7
2011,Guizhou,4000,2
2011,Hainan,3000,2
2011,Hebei,12250,12
2011,Heilongjiang,8700,8
2011,Henan,11300,8
2011,Hubei,6950,6
2011,Hunan,17760,13
2011,Inner Mongolia,8600,7
2011,Jiangsu,65200,56
2011,Jiangxi,18300,16
2011,Jilin,8300,6
2011,Liaoning,20500,16
2011,Ningxia,3000,2
2011,Qinghai,2400,3
2011,Shaanxi,15900,12
2011,Shandong,22600,24
2011,Shanghai,18200,13
2011,Shanxi,9850,5
2011,Sichuan,15360,17
2011,Tianjin,20500,8
2011,Xinjiang,2950,5
2011,Yunnan,3500,3
2011,Zhejiang,36240,36
2012,Anhui,58300,49
2012,Beijing,41020,21
2012,Chongqing,56000,41
2012,Fujian,43040,47
2012,Gansu,11400,7
2012,Guangdong,45250,33
2012,Guangxi,34810,36
2012,Guizhou,34600,24
2012,Hebei,23300,17
2012,Heilongjiang,28250,24
2012,Henan,38600,30
2012,Hubei,35500,33
2012,Hunan,60900,46
2012,Inner Mongolia,22550,19
2012,Jiangsu,203060,180
2012,Jiangxi,38400,28
2012,Jilin,11200,11
2012,Liaoning,46500,32
2012,Qinghai,14200,12
2012,Shaanxi,20100,14
2012,Shandong,51200,47
2012,Shanghai,38380,37
2012,Shanxi,9800,7
2012,Sichuan,56400,57
2012,Tianjin,41800,32
2012,Xinjiang,29670,30
2012,Yunnan,24150,24
2012,Zhejiang,89420,89
2013,Anhui,30940,29
2013,Beijing,55250,33
2013,Chongqing,63750,56
2013,Fujian,45800,48
2013,Gansu,18200,14
2013,Guangdong,65250,48
2013,Guangxi,16300,19
2013,Guizhou,13200,13
2013,Hainan,6600,4
2013,Hebei,21300,19
2013,Heilongjiang,13000,10
2013,Henan,40350,34
2013,Hubei,52870,40
2013,Hunan,58760,34
2013,Inner Mongolia,20100,16
2013,Jiangsu,181290,163
2013,Jiangxi,46950,40
2013,Jilin,6070,5
2013,Liaoning,40050,32
2013,Ningxia,2000,2
2013,Qinghai,10600,7
2013,Shaanxi,29200,22
2013,Shandong,50980,49
2013,Shanghai,42080,32
2013,Shanxi,16150,16
2013,Sichuan,48600,38
2013,Tianjin,70300,42
2013,Xinjiang,23900,28
2013,Yunnan,20950,22
2013,Zhejiang,63000,69
2014,Anhui,87900,75
2014,Beijing,124200,65
2014,Chongqing,78050,69
2014,Fujian,50700,58
2014,Gansu,38600,29
2014,Guangdong,84850,57
2014,Guangxi,42650,44
2014,Guizhou,46400,37
2014,Hainan,6800,6
2014,Hebei,48900,39
2014,Heilongjiang,21429,25
2014,Henan,35800,35
2014,Hubei,77400,66
2014,Hunan,88520,81
2014,Inner Mongolia,23300,24
2014,Jiangsu,290393,303
2014,Jiangxi,54550,55
2014,Jilin,10900,9
2014,Liaoning,61600,53
2014,Ningxia,6600,6
2014,Qinghai,17700,14
2014,Shaanxi,42300,37
2014,Shandong,126590,106
2014,Shanghai,51800,44
2014,Shanxi,15745,12
2014,Sichuan,77907,77
2014,Tianjin,69800,43
2014,Xinjiang,36000,37
2014,Yunnan,44400,35
2014,Zhejiang,138219,163
