year,month,treasury1,treasury2,treasury3,treasury4,treasury5,treasury6,treasury7,treasury8,treasury9,treasury10,muni1,muni2,muni3,muni4,muni5,muni6,muni7,muni8,muni9,muni10,munirf1,munirf2,munirf3,munirf4,munirf5,munirf6,munirf7,munirf8,munirf9,munirf10
1995,2,6.6249,7.0057,7.1581,7.2299,7.2762,7.316,7.3548,7.3932,7.4305,7.4659,5.1676,5.2161,5.2701,5.3288,5.3914,5.4573,5.5258,5.5965,5.6689,5.7425,2.524,3.1696,3.7776,4.3466,4.8753,5.3619,5.7642,6.1251,6.4368,6.7017
1995,3,6.3922,6.6726,6.8134,6.8988,6.965,7.0259,7.0855,7.1442,7.201,7.2552,4.882,4.9473,5.0179,5.0929,5.1716,5.2532,5.3373,5.4232,5.5105,5.599,1.1455,1.9758,2.8161,3.6613,4.5066,5.3468,6.1371,6.9173,7.6776,8.4178
1995,4,6.2216,6.4629,6.6056,6.7005,6.775,6.8429,6.9102,6.979,7.0489,7.1188,4.7542,4.8156,4.8845,4.9595,5.0395,5.1235,5.2106,5.3,5.3911,5.4832,3.8532,4.0626,4.2525,4.4218,4.5687,4.6911,4.7465,4.777,4.7745,4.7406
1995,5,5.9487,6.0854,6.1863,6.2686,6.342,6.4118,6.4803,6.5484,6.6159,6.6824,4.6567,4.7126,4.779,4.8543,4.9371,5.0261,5.1203,5.2186,5.3204,5.4247,3.1282,3.5258,3.9178,4.2995,4.6661,5.0129,5.2952,5.5533,5.7778,5.9689
1995,6,5.6289,5.6654,5.7322,5.8086,5.888,5.9677,6.0463,6.1228,6.1967,6.2675,4.3839,4.453,4.534,4.6247,4.723,4.8274,4.9365,5.0491,5.1643,5.2811,3.5618,3.7025,3.8697,4.0543,4.2482,4.4435,4.5928,4.7343,4.8562,4.9572
1995,9,5.6243,5.7379,5.8253,5.8997,5.9687,6.0361,6.1036,6.1716,6.2396,6.307,4.3079,4.3557,4.422,4.504,4.5993,4.7056,4.8212,4.9442,5.0733,5.2071,2.5235,2.9462,3.3543,3.7436,4.1101,4.4497,4.7184,4.9573,5.1573,5.3196
1995,10,5.5822,5.6507,5.709,5.7636,5.818,5.8739,5.9316,5.9908,6.0508,6.1108,4.3358,4.3858,4.4523,4.5329,4.6253,4.7277,4.8385,4.9561,5.0792,5.2067,2.702,3.1749,3.6238,4.0377,4.4095,4.7346,4.9697,5.1577,5.2917,5.3749
1995,11,5.4188,5.4456,5.514,5.5902,5.6666,5.7406,5.8115,5.8788,5.9424,6.0024,4.3042,4.3684,4.4437,4.528,4.6199,4.7179,4.821,4.9279,5.0378,5.15,2.8804,3.2404,3.5913,3.929,4.2493,4.5482,4.7813,4.9894,5.1634,5.3039
1995,12,5.2882,5.2912,5.3446,5.4113,5.4811,5.5504,5.6176,5.6821,5.7435,5.8018,4.1797,4.2726,4.3699,4.47,4.5716,4.6739,4.7761,4.8777,4.9782,5.0774,3.5536,3.677,3.8239,3.9856,4.1537,4.3209,4.4401,4.5498,4.6388,4.706
1996,1,5.065,5.082,5.1624,5.2566,5.3519,5.4441,5.5318,5.6142,5.6913,5.763,4.1061,4.1832,4.2687,4.3609,4.4583,4.5597,4.6641,4.7708,4.8789,4.9879,2.4485,2.8987,3.3289,3.7363,4.1177,4.4699,4.7495,4.998,5.2068,5.3774
1996,2,4.9203,4.9871,5.1108,5.2467,5.3814,5.5101,5.631,5.7433,5.847,5.9421,3.888,3.983,4.0847,4.1917,4.3023,4.4155,4.5303,4.6458,4.7616,4.877,2.0198,2.5476,3.0489,3.5215,3.9634,4.372,4.7045,5.003,5.2595,5.4756
