date,1,2,3,4,5
192806,0.0071,0.0244,0.0491,0.1293,0.7902
192807,0.0066,0.0218,0.0498,0.1284,0.7934
192808,0.0065,0.0214,0.0495,0.1284,0.7942
192809,0.0063,0.0209,0.0496,0.13,0.7932
192810,0.0066,0.0217,0.0508,0.1328,0.7882
192811,0.0068,0.0218,0.0512,0.131,0.7892
192812,0.0069,0.0214,0.0514,0.1294,0.7909
192901,0.0066,0.0204,0.0513,0.1314,0.7903
192902,0.0065,0.0196,0.0493,0.1295,0.795
192903,0.0064,0.02,0.0496,0.1288,0.7951
192904,0.0062,0.0192,0.0473,0.1248,0.8025
192905,0.0062,0.0191,0.0467,0.1229,0.8051
192906,0.0056,0.0178,0.0451,0.1215,0.8099
192907,0.0054,0.0184,0.0454,0.1233,0.8075
192908,0.0051,0.0179,0.0444,0.1201,0.8125
192909,0.0045,0.0165,0.0419,0.1152,0.8219
192910,0.0044,0.0166,0.0428,0.119,0.8172
192911,0.0043,0.0166,0.0426,0.1154,0.8212
192912,0.0042,0.0165,0.0433,0.1158,0.8202
193001,0.0039,0.0155,0.0421,0.1139,0.8247
193002,0.0042,0.0161,0.0422,0.1141,0.8234
193003,0.0042,0.0162,0.0424,0.1121,0.8252
193004,0.0042,0.0163,0.043,0.1108,0.8256
193005,0.0041,0.0159,0.0424,0.1081,0.8296
193006,0.0039,0.0155,0.0414,0.1052,0.834
193007,0.0041,0.0145,0.0372,0.0995,0.8448
193008,0.004,0.0145,0.0373,0.0992,0.845
193009,0.0038,0.0143,0.0366,0.0987,0.8466
193010,0.0034,0.0137,0.0355,0.0964,0.8509
193011,0.0034,0.0136,0.0349,0.0952,0.853
193012,0.0034,0.0136,0.0356,0.0964,0.8511
193101,0.003,0.0125,0.0343,0.0934,0.8567
193102,0.0033,0.0134,0.0356,0.0941,0.8536
193103,0.0038,0.0135,0.0364,0.0932,0.8531
193104,0.0038,0.0141,0.0367,0.0919,0.8536
193105,0.0035,0.0131,0.0347,0.0889,0.8598
193106,0.0034,0.0137,0.0349,0.0869,0.8612
193107,0.0035,0.0119,0.0327,0.0907,0.8612
193108,0.0035,0.012,0.032,0.0905,0.8622
193109,0.0033,0.0121,0.0318,0.0922,0.8605
193110,0.0032,0.0116,0.0302,0.0904,0.8646
193111,0.0031,0.0116,0.0305,0.0917,0.863
193112,0.0031,0.0117,0.0309,0.0921,0.8622
193201,0.0027,0.0113,0.0298,0.0915,0.8648
193202,0.003,0.0125,0.031,0.0926,0.8609
193203,0.0029,0.0116,0.0298,0.09,0.8657
193204,0.0029,0.0119,0.0294,0.0895,0.8663
193205,0.0028,0.0122,0.0303,0.0925,0.8622
193206,0.0031,0.0124,0.0287,0.0937,0.8621
193207,0.0025,0.0096,0.0269,0.0833,0.8778
