date,1,2,3,4,5
192806,0.3562,0.263,0.2105,0.1383,0.032
192807,0.3568,0.2242,0.2699,0.1128,0.0363
192808,0.3598,0.2226,0.2691,0.1122,0.0363
192809,0.3659,0.2229,0.2648,0.1103,0.0361
192810,0.3657,0.2217,0.2649,0.1098,0.0379
192811,0.3661,0.2233,0.264,0.109,0.0377
192812,0.3631,0.2211,0.2709,0.1067,0.0383
192901,0.3641,0.2229,0.2678,0.1074,0.0378
192902,0.3677,0.2304,0.26,0.1055,0.0364
192903,0.3642,0.2331,0.2594,0.1061,0.0372
192904,0.3614,0.2306,0.2663,0.1052,0.0366
192905,0.3632,0.2323,0.2648,0.1028,0.0369
192906,0.3609,0.2286,0.2697,0.1036,0.0371
192907,0.3811,0.1929,0.2347,0.151,0.0404
192908,0.3739,0.1953,0.2359,0.1541,0.0408
192909,0.3644,0.196,0.2423,0.158,0.0394
192910,0.3589,0.2008,0.2451,0.1559,0.0392
192911,0.3312,0.1962,0.2606,0.1698,0.0423
192912,0.3267,0.1866,0.2681,0.175,0.0437
193001,0.3326,0.1876,0.2628,0.1729,0.0441
193002,0.339,0.192,0.2542,0.1716,0.0433
193003,0.3403,0.1959,0.2503,0.1697,0.0438
193004,0.3388,0.1939,0.2562,0.1677,0.0434
193005,0.3442,0.1914,0.2605,0.162,0.042
193006,0.3482,0.1928,0.2572,0.1603,0.0415
193007,0.4601,0.265,0.1893,0.0714,0.0143
193008,0.465,0.2627,0.1881,0.0702,0.0141
193009,0.4695,0.2609,0.1873,0.0686,0.0137
193010,0.4685,0.2608,0.1921,0.0662,0.0124
193011,0.4618,0.2655,0.1953,0.0655,0.0118
193012,0.4628,0.2698,0.192,0.0638,0.0116
193101,0.4721,0.2663,0.1903,0.0608,0.0104
193102,0.4662,0.2643,0.1928,0.0652,0.0115
193103,0.4792,0.2618,0.1841,0.0624,0.0124
193104,0.4924,0.2561,0.1792,0.0602,0.0121
193105,0.4951,0.2589,0.1758,0.0586,0.0115
193106,0.5032,0.2639,0.1674,0.055,0.0105
193107,0.5716,0.2352,0.121,0.0596,0.0127
193108,0.5802,0.2348,0.1157,0.0569,0.0124
193109,0.5731,0.2403,0.1169,0.0571,0.0126
193110,0.5703,0.253,0.1126,0.053,0.0111
193111,0.5772,0.2507,0.1079,0.0528,0.0115
193112,0.595,0.2465,0.0988,0.0484,0.0113
193201,0.6144,0.2392,0.0923,0.0441,0.01
193202,0.604,0.2405,0.0962,0.0482,0.0111
193203,0.6116,0.2391,0.0932,0.0452,0.0109
193204,0.6152,0.2424,0.0895,0.0427,0.0101
193205,0.6187,0.239,0.0895,0.0427,0.0101
193206,0.6206,0.2472,0.0822,0.0397,0.0103
193207,0.6117,0.1881,0.1256,0.0626,0.012
