date,1,2,3,4,5
192806,27.82,29.44,23.15,23.76,24.65
192807,26.87,26.79,21.28,22.63,23.33
192808,30,30.34,25.55,27.57,27.02
192809,35.89,37.03,30.21,32.54,30.49
192810,38.49,36.72,29.55,30.41,29.68
192811,45.84,40.81,37.19,35.45,35.59
192812,43.58,37.57,37.39,35.98,35.83
192901,41.57,34.31,33.75,35.23,36.89
192902,42.38,36.4,36.42,36.48,36.43
192903,36.19,33.19,32.76,34.13,36.54
192904,30.19,28.48,29.03,31.42,34.31
192905,22.37,21.03,23.8,28.21,32.58
192906,22.85,21.83,26.17,30.64,33.98
192907,20.72,22.42,28.11,31.32,35.62
192908,18.99,20.85,27.34,31.04,38.93
192909,18.71,19.05,27.41,31.37,38.32
192910,0.58,1.96,10.36,12.21,20.94
192911,-8.87,-6.14,1.3,4.39,12.05
192912,-14.38,-9.23,0.47,3.86,13.83
193001,-8.64,-3.2,5.76,8.18,16.96
193002,-9.69,-6.06,2.99,3.86,13.22
193003,-9.73,-6.48,4.37,5.68,14.92
193004,-15.52,-10.55,1.63,2.15,12.94
193005,-13.23,-8.63,4,3.6,14.76
193006,-22.26,-16.75,-4.59,-6.3,5.41
193007,-22.46,-16.8,-5.59,-8.12,4.2
193008,-26.68,-19.85,-8.54,-10.42,3.25
193009,-36.31,-27.21,-16.47,-16.73,-3.9
193010,-43.81,-33.89,-25.81,-24.85,-13.36
193011,-43.84,-34.23,-26.55,-26.15,-14.73
193012,-49.94,-39.61,-30.54,-31.09,-19.99
193101,-45.31,-36.31,-27.69,-29.13,-17.85
193102,-37.6,-31.18,-21.26,-24.33,-14.02
193103,-39.89,-32.49,-23.85,-27.66,-17.53
193104,-40.78,-34.09,-26.31,-30.15,-19.48
193105,-46.94,-39.18,-34.15,-38.86,-28.56
193106,-42.09,-36.67,-30.72,-34.39,-25.65
193107,-43.03,-38.79,-34.47,-37.9,-31.59
193108,-42.15,-37.59,-34.05,-37.06,-29.63
193109,-46.86,-42.82,-39.17,-40.54,-34.18
193110,-41.04,-36.42,-32.65,-33.99,-27.01
193111,-42.79,-37.78,-35.48,-36.98,-31.07
193112,-52.97,-45.85,-43.1,-43.07,-37.29
193201,-51.84,-44.34,-43.3,-43.63,-38.88
193202,-53.8,-46.91,-45.33,-45.12,-39.14
193203,-54.91,-48.37,-47.75,-47,-42.07
193204,-58.41,-51.39,-51.62,-50.59,-47.72
193205,-56.36,-51.94,-54.33,-51.25,-49.47
193206,-57.72,-52.43,-54.15,-51.7,-50.98
193207,-47.67,-41.05,-45.03,-42.61,-43.71
193208,-18.29,-16.44,-26.06,-24.1,-30.31
193209,-18.97,-16.19,-24.64,-22.15,-27.88
193210,-26.51,-24.79,-32.51,-28.93,-31.41
193211,-23,-23.32,-31.95,-27.98,-30.51
193212,-33.85,-31.4,-35.42,-30.03,-30.44
193301,-41.13,-33.19,-37.91,-32.05,-33.73
193302,-44.23,-40.04,-42.35,-34.8,-37.03
193303,-35.66,-30.25,-35.25,-26.13,-33.28
193304,-14.6,-8.53,-14.1,-2.02,-16.31
193305,11.53,13.95,-1.76,4.17,-14.72
193306,31.12,28.9,12.67,15.28,-6.36
193307,30.83,23.27,4.87,8.62,-11.07
193308,62.15,55.14,35.67,39.76,11.25
193309,43.57,37.27,19.35,25.42,1.47
193310,42.56,34.52,16.84,25.02,2.11
193311,69.88,50.8,32.14,40.33,15.35
193312,63.2,47.38,33.5,42.47,17.95
193401,92.33,71.1,49.98,52.5,20.64
193402,111.78,82.73,61.87,60.4,26.19
193403,136.53,99.48,77.27,75.45,40
193404,153.5,121.73,102.22,94.31,55.42
193405,139.43,108.44,87.23,84.09,51.05
193406,97.59,67.49,58.73,57.78,32.87
193407,23.84,12.73,15.04,18.37,8.43
193408,40.87,24.4,24.61,25.65,12.39
193409,55.71,38.77,39.22,38.41,19.81
193410,59.99,45.73,43.48,42.88,21.33
193411,85.7,63.52,53.28,50.85,22.4
193412,85.83,61.02,51.57,49.68,22.18
193501,99.53,78.71,64.89,58.54,30.64
193502,80.21,62.65,55.82,48.58,28.15
193503,38.01,23.94,21.01,18.29,7.81
193504,3.69,-0.64,3.65,5.62,3.65
193505,-8.49,-8.02,-5.02,-0.64,-0.39
193506,-5.19,-1.58,5.64,8.43,7.92
193507,0.01,1.23,3.2,4.43,5.71
193508,18.02,15.54,15.43,12.77,12.97
193509,27.21,25.39,25.12,19.79,19.15
193510,27.61,28.5,26.72,19.15,17.16
193511,46.06,33.68,30.07,20.93,18.68
193512,24.35,20.67,19.83,15.54,14.84
193601,33.35,27.69,23.97,20.39,20.36
193602,39.07,29.96,26.27,22.42,21.97
193603,38.72,31.23,29.94,23.29,24.08
193604,35.08,26.14,28.97,22.14,23.81
193605,39.5,31.46,31.79,22.6,25.48
193606,59.32,48.94,46.5,32.89,34.37
193607,56.06,47.76,46.39,33.6,35.25
193608,60.15,51.58,49.09,35.44,35.86
193609,68.01,56.09,53.06,38.12,37.57
193610,61.47,50.9,47.79,34.48,37.63
193611,72.09,56.74,52.68,36.23,39.1
193612,76.69,62.84,57.76,40.61,41.29
