date,1,2,3,4,5
192806,30.57,26.2,16.85,18.91,23.59
192807,30.88,23.74,15.82,16.63,19.67
192808,37.16,26.03,19.15,19.64,24.17
192809,41.64,29.3,21.99,23.37,31.36
192810,39.92,29.15,21.5,21.58,30.58
192811,46.45,33.67,29.28,24.07,38.71
192812,47.33,34.36,29.06,24.35,34.65
192901,49.13,36.79,28.29,23.34,29.55
192902,48.34,36.45,29.08,24.05,32.31
192903,46.21,35.38,31.12,23.58,30.05
192904,43.82,33.69,28.39,20.52,26.16
192905,39.5,31.01,27.91,19.27,24.41
192906,40.36,35.26,28.98,19.3,23.62
192907,38.68,38.08,31.77,23.21,27.9
192908,38.97,42.39,35.49,27.57,26.97
192909,38.2,41.79,35.24,27.12,30.43
192910,15.52,22.08,21.75,15.55,16.83
192911,6.13,10.5,14.7,8.58,8.26
192912,8.38,11.69,14.83,9.09,10.68
193001,12.55,16.27,16.25,13,15.41
193002,6.29,15.58,13.06,10.67,10.96
193003,8.74,15.28,15.53,12.01,10.73
193004,6.86,11.99,15.05,8.01,7.66
193005,9.07,14.1,15.98,10.16,10.75
193006,-1.93,3.93,7.57,3.85,2.44
193007,-3.52,2.53,6.55,2.65,0.85
193008,-4.59,1.22,5.24,0.73,-4.15
193009,-11.52,-6.21,-0.75,-7.3,-15
193010,-20.53,-14.15,-10.88,-15.9,-26.33
193011,-21.79,-15.26,-12.52,-18.59,-27.85
193012,-26.27,-22.24,-16.97,-24.73,-34.61
193101,-24.29,-20.69,-14.28,-20.09,-30.1
193102,-18.9,-16.73,-12.95,-16.73,-23.01
193103,-21.31,-21.07,-17.32,-21.15,-27.36
193104,-22.77,-21.89,-20.81,-24.39,-31.1
193105,-31.35,-30.85,-30.71,-34.29,-40.28
193106,-28.04,-28.25,-27.48,-29.67,-34.42
193107,-32.09,-34.05,-34.98,-36.99,-38.74
193108,-30.19,-32.61,-33.8,-35.15,-36.95
193109,-32.16,-34.51,-40.98,-43.77,-46.91
193110,-23.81,-25.95,-36.77,-38.75,-41.17
193111,-27.36,-30.61,-42.38,-44.14,-45.07
193112,-33.62,-38.71,-48.57,-51.58,-52.75
193201,-35.77,-40.58,-48.17,-50.26,-51.78
193202,-35.69,-40.77,-50.27,-51.99,-52.54
193203,-38.98,-42.89,-53.49,-54.84,-53.46
193204,-44.87,-48.74,-57.48,-58.83,-57.62
193205,-45.72,-48.87,-61.05,-62.65,-58.84
193206,-47.83,-49.83,-61.25,-61.56,-58.22
193207,-41.66,-41.37,-52.88,-51.1,-43.97
193208,-28.55,-26.81,-39.11,-33.86,-15.19
193209,-24.45,-26.38,-39.44,-32.01,-12.38
