date,1,2,3,4,5
192806,18.98,15.56,13.78,12.76,12.44
192807,18.97,15.72,13.84,12.78,12.4
192808,18.97,15.79,14.29,13.52,12.86
192809,19,15.79,14.33,13.54,12.82
192810,18.69,15.03,13.91,13.1,12.25
192811,20.07,15.79,16,14.28,14.18
192812,20.57,16.15,16.01,14.29,14.29
192901,20.45,16.2,15.98,14.27,14.31
192902,20.54,16.03,15.71,14.24,14.41
192903,20.66,16.59,16.11,14.57,14.39
192904,20.65,16.54,16.09,14.53,14.34
192905,23.2,18.74,17.56,15.7,15.15
192906,23.16,19,18.14,16.55,15.85
192907,23.2,18.83,18.03,16.28,15.42
192908,23.51,18.85,17.91,16.3,16.33
192909,24.42,19.33,18.29,16.57,17.27
192910,28.04,24.03,23.38,23.32,22.37
192911,28.74,24.77,24.41,24.45,24.28
192912,28.78,24.83,24.12,24.4,24.29
193001,29.87,25.79,24.61,24.63,24.36
193002,29.94,25.75,24.49,24.47,24.32
193003,30.77,25.51,24.63,24.16,23.97
193004,29.94,24.88,24.51,24.33,24.03
193005,29.49,24.72,24.56,24.43,24.06
193006,31.38,27.22,26.69,27.26,26.49
193007,31.46,27.5,26.91,27.42,26.61
193008,31.32,27.21,26.45,26.74,26.25
193009,33.46,28.45,28,27.98,27.67
193010,33.51,28.72,28.63,28.64,28.3
193011,30.97,27.24,26.35,27.21,26.71
193012,32.24,28.4,26.69,27.54,26.99
193101,35.47,30.75,27.99,28,26.95
193102,41.38,32.32,29.96,29.43,28.25
193103,41.45,32.3,30,29.67,28.47
193104,42.38,33.46,31.21,30.46,28.92
193105,42.41,33.15,31.78,31.6,29.93
193106,44.28,33.72,32.74,33.66,30.7
193107,44.31,33.62,32.83,33.53,30.43
193108,44.31,33.59,32.64,33.23,29.04
193109,48.6,39.08,38.19,38.06,34.31
193110,47.91,38.57,37.7,37.23,33.45
193111,47.66,38.11,37.45,37,33.01
193112,49.72,39.28,38.57,37.69,33.65
193201,48.91,39.09,37.97,37.17,33.13
193202,48.87,38.8,37.86,37.26,33.58
193203,47.61,37.95,37.01,36.5,33.1
193204,48.57,38.55,37.83,37.3,34.68
193205,48.66,39.89,40.18,38.64,36.27
193206,47.85,39.25,40.38,38.03,35.68
193207,60.28,55.69,51.91,49.68,44.12
193208,90.81,75.8,66.4,63.06,51.95
193209,89.99,75.23,65.84,62.5,51.48
193210,90.79,76.51,66.95,63.34,51.78
193211,91,76.89,67.08,63.47,51.8
193212,90.65,76.47,66.86,63.21,51.99
193301,89.71,75.92,66.5,63.07,51.74
193302,88.12,76.67,66.53,63.11,51.7
193303,88.56,77.5,66.95,63.78,51.76
193304,95.27,86.88,77.04,72.57,58.61
193305,116.96,99.28,83.47,75.03,59.38
193306,117.9,99.79,84.03,74.66,59.24
193307,117.84,99.96,84.6,74.97,59.47
193308,117.57,99.89,84.97,75.56,60
193309,115.4,97.4,82.32,72.46,56.61
193310,116.26,98.2,83.01,72.94,56.78
193311,115.5,97.7,82.6,72.47,56.71
193312,113.39,96.29,81.21,71.25,55.62
193401,115.83,97.98,82.83,71.68,55.84
193402,115.7,97.79,82.81,71.83,55.93
193403,114.94,97.04,81.83,70.89,55.04
193404,113,95.85,80.43,69.35,52.77
193405,113.39,94.51,77.93,67.55,50.33
193406,113.19,94.74,78.03,67.51,50.16
193407,112.83,92.06,75.95,64.36,46.66
193408,94.6,79.44,66.69,54.44,40.22
193409,93.85,79.04,66.35,54.17,40.15
193410,92.22,76.95,64.14,52.07,38.96
193411,91.81,76.3,63.8,51.78,38.87
193412,90.76,75.55,63.68,51.72,38.83
193501,90.93,75.85,63.96,52.11,39
193502,90.12,73.69,62.01,50.42,36.96
193503,91.13,74.28,62.64,50.62,37.17
193504,85.36,64.2,51.6,38.18,27.64
193505,50.3,40.89,39.25,30.41,24.77
193506,45.91,38.53,36.82,29.13,23.53
193507,46.98,39.19,35.62,28.34,22.77
193508,48.06,39.36,34.3,26.13,21.44
193509,46.09,37.37,32.09,24.45,19.85
193510,44.94,36.32,30.86,23.47,19.1
193511,48.69,36.92,31.13,23.16,18.09
193512,48.57,37.06,31.41,23.46,18.18
193601,42.91,31.71,25.9,20.9,17.18
193602,42.98,31.77,25.95,20.83,16.87
193603,42.93,31.8,25.94,20.88,16.81
193604,45.7,34.52,27.41,22.42,17.88
193605,44.04,33.51,26.18,21.25,16.84
193606,44.11,33.44,26.22,21.27,16.85
193607,39.01,27.67,21.29,17.71,14.48
193608,38.61,27.22,20.91,17.47,14.45
193609,38.27,26.84,20.68,17.33,14.38
193610,37.76,26.5,20.26,17.27,14.4
193611,37.27,25.92,19.57,15.97,14
193612,37.15,25.9,19.54,15.98,14.04
193701,36.83,25.38,18.87,15.13,13.29
193702,35.02,24.25,17.96,14.7,12.9
193703,32.64,22.29,16.01,13.33,12.35
193704,36.37,25.35,18.3,16.11,13.48
193705,36.72,25.85,18.68,16.37,13.6
193706,38.76,27.34,20.13,17.28,14.01
193707,38.31,26.65,19.98,17.39,14.43
193708,38.38,26.95,20.75,18.07,15.27
193709,42.95,32.1,26.49,22.86,18.39
