date,1,2,3,4,5
192806,15.4,11.16,11.27,13.43,20.35
192807,15.41,11.01,11.3,13.44,20.36
192808,15.99,11.46,11.66,13.5,20.23
192809,15.76,11.44,11.61,13.44,20.4
192810,15.21,10.82,11.27,12.74,19.83
192811,16.3,12.34,14.78,13.8,21.76
192812,16.35,12.36,14.94,13.62,21.9
192901,16.23,13.02,14.81,13.65,21.85
192902,16.53,12.98,14.83,13.43,21.32
192903,16.65,13.18,14.7,13.48,21.3
192904,16.65,13.12,14.6,13.43,21.29
192905,17.79,14.68,15,13.79,21.38
192906,18.73,15.97,15.22,14.2,21.29
192907,17.99,15.95,15.03,13.96,21.16
192908,18.07,16.78,16.2,15.39,21.06
192909,18.91,17.34,16.81,16.57,21.66
192910,26.94,23.9,19.95,18.29,22.22
192911,28.66,26.97,21.31,19.44,22.91
192912,28.69,26.97,21.33,19.41,22.7
193001,28.97,27.32,21.3,19.58,22.65
193002,28.95,27.37,21.24,19.43,22.19
193003,27.38,27.37,21.96,19.43,21.05
193004,27.41,27.39,21.77,19.99,21.23
193005,27.39,27.41,21.91,20.06,21.31
193006,30.35,30.13,24.12,21.2,23.09
193007,30.54,30.21,24.19,21.25,23.15
193008,29.94,29.9,23.97,21.06,22.92
193009,31.14,31.18,25.12,23.47,26.51
193010,31.82,31.54,25.63,24.38,27.87
193011,30.48,30.45,23.12,23.31,25.03
193012,30.55,30.84,23.65,24.23,27
193101,30.35,30.3,24.33,26.41,30.38
193102,32.34,31.26,24.79,27.17,33.93
193103,32.39,31.64,25.31,27.78,34.28
193104,32.74,31.93,26.23,28.7,35.21
193105,33.34,32.46,28.35,30.91,37.41
193106,33.57,32.7,30,34.9,42.9
193107,33.45,32.33,30.11,34.76,42.68
193108,32.88,31.03,28.35,33.2,42.35
193109,37.86,34.76,34.68,39.4,48.95
193110,35.45,33.24,34.41,39.9,49.85
193111,34.62,32.19,35.46,40.73,49.93
193112,34.89,33.37,36.89,42.33,51.66
193201,34.17,32.45,36.97,42.61,52.19
193202,34.66,32.54,37.06,42.44,52.12
193203,34.37,32.06,35.72,42.46,51.59
193204,35.79,33.87,36.63,43.34,52.45
193205,37.37,34.81,39.42,45.4,53.18
193206,36.17,33.99,39.73,46.72,53.57
193207,41.91,44.3,55.13,65.58,77.7
193208,48.5,52.78,67.46,78.41,98.31
193209,47.93,52.35,67.36,77.89,97.28
193210,48.05,52.66,68,78.8,98.55
193211,48.06,52.66,68.17,78.99,99.45
193212,48.38,52.74,68.16,78.75,98.76
193301,48.19,52.54,67.96,78.05,98.4
193302,47.64,52.96,68.15,78.32,98.57
193303,47.67,53.19,68.53,78.63,98.85
193304,53.51,61.27,77.67,88.53,107.14
193305,54.47,62.05,78.85,91.39,112.1
193306,54.3,61.97,78.85,91.13,111.51
193307,54.52,62.37,79.02,91.15,111.51
193308,54.89,63.32,79.65,91.45,111.79
193309,50.95,60.63,76.65,88.55,109.4
193310,50.9,60.77,77.21,89.66,110.71
193311,51.03,60.36,76.28,88.72,110.05
193312,50.26,58.76,74.54,86.73,107.72
193401,50.42,58.85,75.25,87.3,109.38
193402,50.42,58.99,75.44,87.37,109.52
193403,49.53,58.12,74.42,85.96,108.92
193404,47.3,55.57,72.62,84.47,107.53
193405,44.6,53.84,69.15,82.07,107.09
193406,44.35,53.74,69.15,82.12,107.27
193407,41.76,49.62,63.49,74.78,99.72
193408,36.21,43.14,53.55,64.07,82.13
193409,36.22,42.73,53.09,63.93,81.8
193410,34.98,41.6,51.55,62.17,79.57
193411,35.3,41.45,50.78,61.82,77.87
